file,sha256,bytes,retained
emin.mdp,4103bd0e0ae20b2bb006b2ede6211c5c39aa0188786e7117efd94d8f98adf5e4,1918,yes
eq1.mdp,90a517dbeaea07b4b85e7c2592133a76d38a5af8cccac175d5198b1a25f4f021,2053,yes
eq2.mdp,fa1a6e3d702d8dac6f7323ab5ad37074b458b6fa493a82ae84d42f219722eb4b,1989,yes
eq3.mdp,429b052381b5494720c49fa43e455945742f63d8b4954a4208335d90af9b3925,2137,yes
md_01.mdp,f937a4f89a58996ab17a0ca237a2c78007799d05cbb38363692309bd4079743e,2137,yes
md_02.mdp,26eefe2927fc61ecf193b1118ee1c40ccb3c1003d8eebe0e7b1568bf1034433c,2137,yes
md_03.mdp,4b15c4bf44a777c60329aeaedf654c4f83a874a98322f23c724f33f0ff7576e7,2137,yes
md_04.mdp,144a33a7acd0372e68611c6ef726cce98887e3f9b86127fb269e5ba2bc16de8d,2137,yes
md_05.mdp,73bcb7e7fda69d7f3cd4c9dd6bd43671da1920ce904a902612439a0f9367b5f6,2137,yes
md_06.mdp,78a6b653d4bef37aeea3fb96c63923a7ddf8cc94814b776f830c5d9082967c90,2137,yes
md_07.mdp,6fe00a69e558688368dd9d3e8641ed2dd1634d21083dde757f75e0e3ad373990,2137,yes
md_08.mdp,cb7601dceb324e6129d28e326ad2d0fb8e998496283e24efad311bf34b92af67,2137,yes
md_09.mdp,b8a371e497c3c91cbe8fc20d5ce8de3fe409058e80784ddc80336de269ac13fb,2137,yes
md_10.mdp,3622ba136ff7679c0fe1258a6528a185a44ed317253150679ef0344c72ef2d2e,2137,yes
opc3.top,33c4f47be12ab21a761ba2d16c874652bf48337a2e6b6be16a20d3ec9fa33e8e,143,yes
opc3.itp,102f5d8af9756d17815a754f04ae61de9a9c80d41752e09c424cf357452138db,2973,yes
run.slurm,e91353d97b80781270e34d6e448f359fd33c9eca850b9edd54a5889d183ef866,3273,yes
water_2048.cnf,bee53c3c035b4bf9cf565c583e8174955d8eafc5c4acc72844b56197e308becd,522603,yes
water_2048.gro,b0e11ccb0a5b7009180e50643b9b59f3a997499b11488301e166885661bfbd89,276614,yes
w_opc3-47753597.out,904caee5408f4aa1b711701f0ff220cd341cf077fecbc7c09500db381a97ca4e,62276,yes
eq3.edr,89347bd348dcbe02575c809eb487c08a50e2087cb51dc8950a39de0aea69faae,51456,yes
md_01.edr,e94822f097ec9bafb01d017cf664bfaa633a81ef537ad5f54362f55b69ab659d,2161056,yes
md_02.edr,438fbc3dfa72b6586459464bbf2f4b68e3225975694144280dcd35517429db01,2161056,yes
md_03.edr,866ce3cf8619949e0ea75b273ad2c7026730f0c5dcfbe8bd6b1cd9c9a29c2d03,2161056,yes
md_04.edr,bbb08be3a5514cd96b51f173094a70f7fc15fcce77df2906911efc5f6880bd22,2161056,yes
md_05.edr,19d8083f197fbaaf64c8f17600ebd9d60b6d41a311c86771677b7005ac7e1770,2161056,yes
md_06.edr,b613760fd7a902ee9904b4b8cd5422b988b36b3af6279b4656f33ddc9114c86d,2161056,yes
md_07.edr,a2116407002890db10e133275e23d0f7fb309e91ca7c22fe6f05170ace962c1c,2161056,yes
md_08.edr,2c8e2f97178f83cd821cea4d3aa7acaa453b6f49d8c35a2236e8c529f3993b0f,2161056,yes
md_09.edr,05ca3a812bfc0ae1699a640a27767f189262d58c0808ad023e6700edac03a2e3,2161056,yes
md_10.edr,bd9f78a934ef909b8f3d7c616fc03598c0392382ef9781b6368e719bc4ecf93e,2161056,yes
md_01.xtc,88783294c42f3af4ff03d25175936c9d815b189af76e316e40a217dd85b74c36,219415208,no
md_02.xtc,9ad32ba9f1e31ce9e9fbeb14fc4ea758817da41c8b3050d0ee3d2c1131680b22,219411600,no
md_03.xtc,80729a16cd962d0ed5b3d6b07b24b91dacc9fdd169d226f2fffc7989190685ad,219446444,no
md_04.xtc,54236f5383518bcea28aac833c6a2a467e18ac861f40dbc2ae836756b036c234,219405456,no
md_05.xtc,e9546f7586b0f7256f69b6b6f11c088721058b74fa7ad4e165a056aec1f10976,219427020,no
md_06.xtc,10a5b50fb3a8111ed67ca99864faee46b459ad87c7ed97f5bd7f75ddf30579ef,219451056,no
md_07.xtc,0a9047188d0321fde539ec73362c6434ea72bb11fad00253e769d280637642a5,219418624,no
md_08.xtc,adf0b97cf975676446df37a7463737b784c8d0e66f340327bc5df995bfb7d449,219439296,no
md_09.xtc,a1d694e4b1c2c01cdee33b8a77ecf22921d1d24043920b16086be2518ee4dec7,219432612,no
md_10.xtc,537244feb82f7804953746a848d04f3be3f999ed602d730a29ecb525ec4c22a1,219443484,no
