file,sha256,bytes,retained
o3eq.mdp,2bc9b8bb4ae087e0f8c02dda9b9d0539666c2968c7f712530f5a06c323fc1d1d,1806,yes
o3pme.mdp,c7f818b6c335fded1326784088db477b7ae313b893d97990bd6fb2c13df55644,1820,yes
o3rf61.mdp,26c3bd7e0c14c504512f976ffc2b024e32d24e698d8130dfae26e4db89f62ed2,1800,yes
o3rf78.mdp,fa4695d008a1594760fbf358b49dfa85cc0a4b7a2ecc8b4af349a34c4e0e77bb,1792,yes
o3eq.log,5b469abc4eeadda9b7f7b82cda5869cd6806e6f91a4259d82a30b8b94c3578ba,29635,yes
o3pme.log,37b5001e56841a721e6fbcc0fdffc6f539dc04ae1a924e5aa987d156831310d8,17978119,yes
o3rf61.log,9bd05653be4a418875573211854f3d893c58c6182200dbd3901028cfab9fc94c,16476351,yes
o3rf78.log,adf78f9e21a890b25965a99cc5747242e5f3b9ff79f23426feb9ede7c780ea48,16476358,yes
w_o3set-47758274.out,ef3ddfb26f6245d44892473f9ffe03478f31892b261381b56edca7fb9ed7ba6d,18431,yes
o3eq.edr,553e03d74910380682a5d4ef41018c5077c6b5a50a5fb6a65f425dcd98dc3127,6096,yes
o3pme.edr,13251749e274ce0856a69e86a3d2fbe9142e6be1a749029364bc7f1135a606b2,11001088,yes
o3rf61.edr,e662b325aa91d30892c4d9ff576c4d7d74c8befccbdf9dd48212d7113a03f67f,10801056,yes
o3rf78.edr,15ef2bff2af0627019bd25559ebce8a3210d597a5579fb39726f20e92976ab94,10801056,yes
o3pme.xtc,ee069dbc3f2aa3e95144bc76899b3c2990a9a4c2cc6bde0f7b8f3904e2d6de34,1097051044,no
o3rf61.xtc,e73ba0765b9438847dd32056f37959f52e098cb8b58672f2a0874e57f5d9e1de,1097030764,no
o3rf78.xtc,85f5bd7c02a72f1f51355fbfd7913964ac703750608ee426035d372fd52c5da0,1096988316,no
