replicate,seed,frames_analysed,density_kg_m3,density_err,U_pot_kJ_mol_per_molecule,hov_kJ_mol,pressure_atm,D_pbc_1e9_m2_s,D_corrected_1e9_m2_s,msd_linearity,tau2_HH_ps,tau2_OH_ps,tau1_dipole_ps,dipole_fluctuation_y,eps_neumann_61,eps_conducting
md_01,770001,9000,974.99,0.246,-41.682,44.161,0.3,4.3412,4.5163,1.0031,1.1589,1.0585,2.8065,42.59,66.15,43.59
md_02,770002,9000,974.57,0.208,-41.6775,44.156,2.1,4.2523,4.4274,0.9924,1.1585,1.0577,2.8055,43.625,68.6,44.62
md_03,770003,9000,974.9,0.185,-41.6815,44.16,0.0,4.3618,4.5369,1.0109,1.165,1.0611,2.8057,41.651,63.98,42.65
md_04,770004,9000,974.69,0.265,-41.6797,44.159,0.1,4.2059,4.381,1.0002,1.1622,1.0599,2.8204,46.342,75.36,47.34
md_05,770005,9000,974.77,0.286,-41.681,44.16,2.0,4.2975,4.4726,1.0053,1.1619,1.0598,2.7977,39.715,59.65,40.71
md_06,770006,9000,975.0,0.241,-41.6809,44.16,1.1,4.2722,4.4473,1.0037,1.1634,1.0594,2.822,43.918,69.31,44.92
md_07,770007,9000,974.49,0.28,-41.6805,44.159,3.3,4.2528,4.4278,0.9999,1.1643,1.0593,2.8042,42.2,65.24,43.2
md_08,770008,9000,974.51,0.301,-41.6753,44.154,0.2,4.1742,4.3493,0.9853,1.1595,1.0618,2.7791,44.908,71.73,45.91
md_09,770009,9000,975.07,0.235,-41.6772,44.156,1.5,4.1609,4.336,0.9876,1.1566,1.0573,2.799,40.192,60.7,41.19
md_10,770010,9000,974.72,0.177,-41.6799,44.159,1.0,4.4388,4.6139,1.0082,1.1636,1.0598,2.8298,44.823,71.52,45.82
