file,sha256,bytes,retained
emin.mdp,aad0ffe7815568c7492e397d40034954a8e994a749320d49c19588c638605d52,1918,yes
eq1.mdp,62642810fbff9b7c3fbb963a78b786889133df73354ad4dc460f2b18f77ebc18,2053,yes
eq2.mdp,1c2da60016558b76a338bb9f1e1eeb56b0f1baa9b23ac223142765e7a2722165,1989,yes
eq3.mdp,9a6b2e137139ed7c5966d2cae3a3c2c6740da1ee2a70647475a1c2b3d602f8b7,2137,yes
md_01.mdp,9b933a83de8cdb879925d74d0cc903de0d6713a473cabfa11cad72eb342f5e4a,2137,yes
md_02.mdp,d20459934497e1cb4112dcb4368666aa93a1b2f3e565843be28ffc125d2d3cef,2137,yes
md_03.mdp,08977c2790d1c87f0aa43891d14e87767d7371e1ca5eb7e3ae3698bd0873d983,2137,yes
md_04.mdp,b0e7baa895d4d3a585d99d736f417c0858148f553fc8e0028517a48982b9e91b,2137,yes
md_05.mdp,e492207bb7e743e9a9e11f1063dc98c41b25152908d78fd4e363a4ccbd3bb8bd,2137,yes
md_06.mdp,cc5c0dd7d2e3ed291511e89da4db2ebe126c9ba6ffa10dc1e8becaa3d44d7dc6,2137,yes
md_07.mdp,a45c70607ad68ed156465a9cf9ee772434a7f4f0f32f7296482a6c3d1e6ba39b,2137,yes
md_08.mdp,66192b592dce51de25a5195b0f0c890aaaaeb94424dfb690d56ba703797c84c7,2137,yes
md_09.mdp,68b52c5efc00cdd42667cfafe1aa95cd01feb094d2709cdbf95f6bc4d9747d93,2137,yes
md_10.mdp,6e71b63e22bf6ab6275bede3674b5d78d2b8e8b50a7c2a368e25631e4bda4663,2137,yes
spce.top,f43bd7ed0f42276bf7f9732eefe2ccc4fbac7ad67b39e92c5da88f2ff354c8d4,157,yes
run.slurm,877987afbc59309daa4e2bbf2694a4425bda0f7412ff3e43887bc90f959d56e6,3273,yes
water_2048.cnf,bee53c3c035b4bf9cf565c583e8174955d8eafc5c4acc72844b56197e308becd,522603,yes
water_2048.gro,b0e11ccb0a5b7009180e50643b9b59f3a997499b11488301e166885661bfbd89,276614,yes
eq3.edr,77d0703db4097a90af9084deb19a3aa16c2ad2dea2ac072e5cce66226a45e196,51456,yes
md_01.edr,36e534bb6b40db2907e35fb9db8b7b4993e8859613e58c5bf2e4bf1959b0b424,2161056,yes
md_02.edr,0d4ecb93f57cce192c6b6b2ebbf4fcce03ffaf0620b6eb2085c25af2ad45dd7c,2161056,yes
md_03.edr,bcc99f6295cc4d6005a27e10d101434da700f2dfe28477f15db66a861189827e,2161056,yes
md_04.edr,68f1479c9a3d20daada8165e95e58342158c510cada347b1782f5542e7cd5a89,2161056,yes
md_05.edr,ce7b5ce7dd611c04dd413617bc6016f2fc89abaa0e361933a5e8a06841b0238d,2161056,yes
md_06.edr,21db3eb897836b2704dfca2aafcf97f61a875e3320bf1afeda5a6ba7f945a953,2161056,yes
md_07.edr,e0b306e6b047d105314eafdf894a521e8f6cbfa08e9b9c6e3f66e8d358881683,2161056,yes
md_08.edr,eafe158aa2faa3b402e7e3d4b22b68869217d7d576eabd06b41b0e6b0af54d1f,2161056,yes
md_09.edr,bbd23487621d8b2232dbdcc06d8b4ff4d584fa2b9f3d702cf8769168fa5d7072,2161056,yes
md_10.edr,6271dcc788afa3f24162c820dd5604e11219f46d0af2c7caa1cb5caba0144a05,2161056,yes
md_01.xtc,712bbd91e5bcc6621f711701f1b1c28be4002a031c75f2c9d1282fb39fb67857,219585232,no
md_02.xtc,aef2f4db8a18bb0de0202a08f01eaa6b193a6bcb0b424b7e946f294937ca85a6,219600316,no
md_03.xtc,480e5c93efbb81f9a8cc667250aa1b9420726900f0f71d6d1c57fadd4ba8d8cf,219579968,no
md_04.xtc,ab95db8de77ee4faa8f7e24bf278867f40a296a5c3920a982cf3ebdc6ff240e7,219618296,no
md_05.xtc,6820fea82acfdd2ea703c38cc27662b66b704b0e6aa4639e6db1dfd9bd4ba69f,219592636,no
md_06.xtc,b1aa0868ddb4b3ac442d4c9b8d19ed30dd647292cb93fe9a6b652e1c448d176e,219602336,no
md_07.xtc,f2520f1116b77cf9a1903847c6eadff23541fb7d22ce9a99bc4dcf53b9f41a4c,219601388,no
md_08.xtc,26b7b7800ec9750e037cea4c08fe66fe11b31c7cee9c24d3882f8b3f0c60739e,219601144,no
md_09.xtc,f3f22313eb91dcdd0a7bdf9e03a27f31216ab722083b610d5909b09605180a70,219574680,no
md_10.xtc,b2bb261ca216c35a6af9b35408f458bdee786c3d0569d490ac09638241f05da7,219568188,no
