# Audit record for /ssd1_nas_md/water_benchmarking/spce/gromos
# 'audited' files are carried in this record or kept beside the run;
# 'excluded' are the trajectories, removed after this was written.  A
# restored copy can be proved identical with `sha256sum -c`.

1f19d187fe2eb82c3feec098a33d7734e80444693e211f800151214d1642d946  emin.imd
021fc0ab102ffcd3f42ccdc25e90b9f98d75ec4d96221b5aac9f11388d84c5d9  eq1.imd
8e8399228fbe6f2e13df9add8e29100a361bf192b10461c824bb1f60eb4248d5  eq2.imd
558e4bc0a2006f349c1affac98dda3c3c40db4107f2cb16dde5ed6d47778e509  eq3.imd
9707b41cf671c5a62c978b658a9516dff49d616dfee9aff5d742633b13e68bac  md_01.imd
2d64a498e02ef5ebd66ce1e399b949c3d8bce6ee32ef7801f214fc6e9d57fa27  md_02.imd
59cc07e4876882016bef4d62349189d0377e3ee832a3446cc47d030c40bfc523  md_03.imd
47e22d9fead27461c6fbcb6a991a41b5b92d70504bf319ec265cb2213dcdafcc  md_04.imd
85a8063759ac60980312ace347c9e81561a9d93881f04abdf887f981be990561  md_05.imd
67c7282780e7ac32aabb0e98751c6bac409cc1d2242eacd486b5ab8d4414935c  md_06.imd
9103130955a2141e3d893171c6a779e98cbc07c42cbb9867ea6142f3d4d0701f  md_07.imd
046dbc1d6fa352685f55b0f399d88765920507e18727a5ef92b2c077c2313ba3  md_08.imd
caabf29e8fe8e97300ff0d7a8e3c50af2cbf67b26f3c0f62b8a6f55d3e0ac2d1  md_09.imd
77b52690013abfb1c5b69fb7d2badfc6dc2a3d0b9a63af4a2942f24d112f8238  md_10.imd
dae2c8f0b3a3e9e757cedafc1e3541177e6ba54eaac0633a61981ede85349be8  spce.top
bee53c3c035b4bf9cf565c583e8174955d8eafc5c4acc72844b56197e308becd  water_2048.cnf
b0e11ccb0a5b7009180e50643b9b59f3a997499b11488301e166885661bfbd89  water_2048.gro
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855  chain.log
c068c9e7d14fa10de9512fc38a5113efb604b180894bbd48e65739c169796444  emin.log
68ebbad1b11332efb7f010ffb1bcb5c30d9f2dfd2ca7b8ceb4c597c8f13b6208  eq1.log
8dcc01d5ae00645acf20d919017dbf4e2d0a8a4daf0041380b458858349762e7  eq2.log
3fe0aa1a76d02c1a6fd6b40c8ec0f0158fdae75b6dddf0f1486cf56f50213f2c  eq3.log
9e3b061f65543dc006e814ea93aefd00f5b874aaad3a379e86e791104f87b3cf  md_01.log
587dcc811343ac3eb266f52ed5b008bbae6513983d1acef3566d069b0fd6bfef  md_02.log
285e23aeedaa3c31ee4e2cd81b7290049e50f0770d36033fee897060067a388b  md_03.log
0d979fb20ade53f9b458f2d22b885a2ac1e4f6d039aaa64fdc1c29f7512bcda1  md_04.log
bdfd9accdf2ca849e6ee10df7964b4a1007d8181918c59b10c512fed6323b7a7  md_05.log
20e61b202d2bae2225bd6d8b122739116b683ca6674dac0334e3f3f56e02e89b  md_06.log
5bec80f22ba235b1f6f16768e38cff76b2c54c4523cf3dcbf946fb06cf9a9f5f  md_07.log
3c47c01c7d88cf503d7b49beec0b2938a4dcbe6be6f3e14db9dae83b60fdc81d  md_08.log
