file,sha256,bytes,retained
emin.imd,1f19d187fe2eb82c3feec098a33d7734e80444693e211f800151214d1642d946,1797,yes
eq1.imd,021fc0ab102ffcd3f42ccdc25e90b9f98d75ec4d96221b5aac9f11388d84c5d9,2553,yes
eq2.imd,8e8399228fbe6f2e13df9add8e29100a361bf192b10461c824bb1f60eb4248d5,2552,yes
eq3.imd,558e4bc0a2006f349c1affac98dda3c3c40db4107f2cb16dde5ed6d47778e509,2552,yes
md_01.imd,9707b41cf671c5a62c978b658a9516dff49d616dfee9aff5d742633b13e68bac,2553,yes
md_02.imd,2d64a498e02ef5ebd66ce1e399b949c3d8bce6ee32ef7801f214fc6e9d57fa27,2553,yes
md_03.imd,59cc07e4876882016bef4d62349189d0377e3ee832a3446cc47d030c40bfc523,2553,yes
md_04.imd,47e22d9fead27461c6fbcb6a991a41b5b92d70504bf319ec265cb2213dcdafcc,2553,yes
md_05.imd,85a8063759ac60980312ace347c9e81561a9d93881f04abdf887f981be990561,2553,yes
md_06.imd,67c7282780e7ac32aabb0e98751c6bac409cc1d2242eacd486b5ab8d4414935c,2553,yes
md_07.imd,9103130955a2141e3d893171c6a779e98cbc07c42cbb9867ea6142f3d4d0701f,2553,yes
md_08.imd,046dbc1d6fa352685f55b0f399d88765920507e18727a5ef92b2c077c2313ba3,2553,yes
md_09.imd,caabf29e8fe8e97300ff0d7a8e3c50af2cbf67b26f3c0f62b8a6f55d3e0ac2d1,2553,yes
md_10.imd,77b52690013abfb1c5b69fb7d2badfc6dc2a3d0b9a63af4a2942f24d112f8238,2553,yes
spce.top,dae2c8f0b3a3e9e757cedafc1e3541177e6ba54eaac0633a61981ede85349be8,112628,yes
water_2048.cnf,bee53c3c035b4bf9cf565c583e8174955d8eafc5c4acc72844b56197e308becd,522603,yes
water_2048.gro,b0e11ccb0a5b7009180e50643b9b59f3a997499b11488301e166885661bfbd89,276614,yes
chain.log,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,yes
emin.log,c068c9e7d14fa10de9512fc38a5113efb604b180894bbd48e65739c169796444,27729,yes
eq1.log,68ebbad1b11332efb7f010ffb1bcb5c30d9f2dfd2ca7b8ceb4c597c8f13b6208,59412,yes
eq2.log,8dcc01d5ae00645acf20d919017dbf4e2d0a8a4daf0041380b458858349762e7,99662,yes
eq3.log,3fe0aa1a76d02c1a6fd6b40c8ec0f0158fdae75b6dddf0f1486cf56f50213f2c,478257,yes
md_01.log,9e3b061f65543dc006e814ea93aefd00f5b874aaad3a379e86e791104f87b3cf,45899583,yes
md_02.log,587dcc811343ac3eb266f52ed5b008bbae6513983d1acef3566d069b0fd6bfef,45899581,yes
md_03.log,285e23aeedaa3c31ee4e2cd81b7290049e50f0770d36033fee897060067a388b,45899575,yes
md_04.log,0d979fb20ade53f9b458f2d22b885a2ac1e4f6d039aaa64fdc1c29f7512bcda1,45899581,yes
md_05.log,bdfd9accdf2ca849e6ee10df7964b4a1007d8181918c59b10c512fed6323b7a7,45899581,yes
md_06.log,20e61b202d2bae2225bd6d8b122739116b683ca6674dac0334e3f3f56e02e89b,45899585,yes
md_07.log,5bec80f22ba235b1f6f16768e38cff76b2c54c4523cf3dcbf946fb06cf9a9f5f,45899579,yes
md_08.log,3c47c01c7d88cf503d7b49beec0b2938a4dcbe6be6f3e14db9dae83b60fdc81d,45899583,yes
md_09.log,0c0036754e5ba21e318409319bdd3dfdb0c726895865ae4272fd1a5244453973,45899585,yes
md_10.log,d62a135ad7168d1cc8321212c6cb0c2d862ac9182458a794d5c802116ecd9813,45899577,yes
md_01.log.job.json,d77a45d6091f340e58b3759f1c78e86ee0825f4c991ce577923e287da079213e,1181,yes
md_02.log.job.json,5f19a2aadb63ef80fd29bbb3c925401d929f5687d5601cc95747d92af5f79168,1181,yes
md_03.log.job.json,11637053ef786c00b581d42bae3fdf3abe1ba9186b2bd5f00a34d2cc06c60c4d,1181,yes
md_04.log.job.json,9f8fa909620a2c01a06b251abc31d15426fe3edb6dcab57425004e2cbe98d73d,1181,yes
md_05.log.job.json,9681492b36052669d09470b9f6849678f9134624f6321b26a309365eb718d30a,1181,yes
md_06.log.job.json,e9bbf164cb8cda7e1f93eb30a7c25a1f696a43af791078abffeaf8c22bacc607,1181,yes
md_07.log.job.json,6bd5c84931e6f5230b46364278147aec15afdf02f35813c5092968d14f22ed91,1181,yes
md_08.log.job.json,f8af17ea30fe558d495157d53d8883ad2e6079ca5eac23c895afd6203e36f695,1181,yes
md_09.log.job.json,233088b828b91be96a0a69bc6abcf98697b6c027b4588320660c55e96bbae802,1184,yes
md_10.log.job.json,053fb7e7520f54f19a286de9708243c7a9263310411dc2d1812d9a6d64a372f4,1184,yes
emin.tre.gz,49dabaaa646bc171e6556d2a71c916bd5fba0202fbc8536426511eac5d25dae0,159,yes
eq1.tre.gz,02c58c63c0006de4437ff6b78d18da74b85df684c75c30aca256508440e41554,2053,yes
eq2.tre.gz,14798318b348e16a564a773344407b9bdc9e3862a26951f38acae3ecb4c14c92,3445,yes
md_01.tre.gz,0ec068e918dc4dfe8327c22c3aa9d385b690c30ab97370bc810216483801fa61,3815566,yes
md_02.tre.gz,ad4c24b04d840e381cb898ce773a9003551cb1ca1f426a8e2ab08bf17c2336d4,3816418,yes
md_03.tre.gz,a3b92ce1621b428394c37f4113aa8888394f3700cad2528abcdc091f100336de,3816730,yes
md_04.tre.gz,87ab06d84a33e0a0ad41fb2dac30835d3ba6680c242bd46601ac57a1fc21a4bd,3816162,yes
md_05.tre.gz,a669ff47a5c40c3de7a70b82d1e952a8a886a3e8361298a70fad158cfe387c1e,3815516,yes
md_06.tre.gz,73799f7c1b40b087a2de204f55129afcaeeb6fb73e741de2a15bfa4389264eed,3816323,yes
md_07.tre.gz,98844905f51f1ed2b7620f3d8d2423f8af1afea5424caa7deb9296d4466f8deb,3815767,yes
md_08.tre.gz,89b1ed298efbe37828f40c3e883aff8fc99cbf136b360f9b25be566066e659dd,3816709,yes
md_09.tre.gz,00b42d1ef5ec0b2d3a8ced937ff42972925d7d40ece1aab8ded71961564c16cf,3815971,yes
md_10.tre.gz,922e98fd6788229fc581fe847020b45ca1f8155fe4834ca019f824491640d513,3815979,yes
emin.trc.gz,316050d74f42043c1d292db9e0756a8446660f20a6f2abdaad8c49ddba2a4647,140,no
eq1.trc.gz,0d2e317535fc5e3d43d2c8b10f034b763a6359c0bb9ccec67339d5dc32f8c036,1122387,no
eq2.trc.gz,a363443340afa702003fef7af36760cbeb5f7ca0bbbb037a6eeb0817d8001a98,2243959,no
md_01.trc.gz,ef8426bf4bd5ccd50991b76ab2e8c27265e692f1ad6b14abd13e0fc24addd853,1121036590,no
md_02.trc.gz,e971bc8d594538d9d16356de4b396001bca0daf806a8101ec26737f9437ecd1b,1121037280,no
md_03.trc.gz,e9bf10a6e5a296648b577c77d1218826ace62fe36aa8942f62b984cdfd95ced8,1121021577,no
md_04.trc.gz,a2ecfe8434923d666ff2095f6a2c9ad52f9dcf9f3d4921c50434225d013f2780,1121036561,no
md_05.trc.gz,4adbec7fe803cf0104da4699b5c6f1a9f055af71810f00771f62a93862c0a604,1121028287,no
md_06.trc.gz,0bda225b61cddab11760ad5f903ab7ebc80577d45ae5698d98e9edc8ec918eaf,1121037146,no
md_07.trc.gz,4d05f1493f9a85dba81d359c3277066be897b40a13b70fa73448100d59f9cdd8,1121039906,no
md_08.trc.gz,8da7f380ec89bedaa1a442e8fa1f44676b7ee48b801b44d8fcf715da98abd57a,1121002942,no
md_09.trc.gz,7111461adba35d5ff7480b31ae4c5491b78f80d1f230387c36671f84a731ed3a,1121031653,no
md_10.trc.gz,48b87bc3abaeae6149c8bd12a5d6d479a0502f40e7e4de26e5388789da2188f4,1121012483,no
